unique_id,ds,cutoff,config_with_exog__,config_no_exog__,y
Wajo,2022-04-30 00:00:00+00:00,2021-12-31 00:00:00+00:00,168.30853,206.98145,257.3
Wajo,2022-05-31 00:00:00+00:00,2021-12-31 00:00:00+00:00,209.12042,247.25485,344.2
Wajo,2022-06-30 00:00:00+00:00,2021-12-31 00:00:00+00:00,114.18351,94.0967,362.7
Wajo,2022-07-31 00:00:00+00:00,2021-12-31 00:00:00+00:00,88.08316,83.05078,265.5
Wajo,2022-08-31 00:00:00+00:00,2021-12-31 00:00:00+00:00,30.348053,45.736443,200.40001
Wajo,2022-09-30 00:00:00+00:00,2021-12-31 00:00:00+00:00,41.26272,64.14042,149.70001
Wajo,2022-10-31 00:00:00+00:00,2021-12-31 00:00:00+00:00,145.12453,219.80843,275.1
Wajo,2022-11-30 00:00:00+00:00,2021-12-31 00:00:00+00:00,91.774536,130.80812,249.8
Wajo,2022-12-31 00:00:00+00:00,2021-12-31 00:00:00+00:00,145.07576,391.02808,248.1
Wajo,2023-01-31 00:00:00+00:00,2022-12-31 00:00:00+00:00,218.83923,156.56131,126.6
Wajo,2023-02-28 00:00:00+00:00,2022-12-31 00:00:00+00:00,118.75498,79.86766,90.3
Wajo,2023-03-31 00:00:00+00:00,2022-12-31 00:00:00+00:00,221.63849,202.44205,248.3
Wajo,2023-04-30 00:00:00+00:00,2022-12-31 00:00:00+00:00,276.75903,214.31546,276.8
Wajo,2023-05-31 00:00:00+00:00,2022-12-31 00:00:00+00:00,189.08134,175.8693,284.6
Wajo,2023-06-30 00:00:00+00:00,2022-12-31 00:00:00+00:00,156.98521,80.52484,144.9
