unique_id,ds,precipitation_sum,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_mean,surface_pressure_mean,cloud_cover_mean,shortwave_radiation_sum
Bone,2014-07-31 00:00:00+00:00,120.2,770.13025,2657.9111,291.82172,31045.312,2260.9167,510.27
Bone,2014-08-31 00:00:00+00:00,98.8,761.01575,2545.2078,364.41733,31064.188,1635.5834,632.82
Bone,2014-09-30 00:00:00+00:00,5.0,760.49713,2149.323,332.00165,30058.98,1479.9166,749.03
Bone,2014-10-31 00:00:00+00:00,10.0,829.63025,2129.09,318.56396,31023.812,1627.375,821.53
Bone,2014-11-30 00:00:00+00:00,40.0,832.6179,2168.8828,206.43338,29978.06,2096.5,719.82
Bone,2014-12-31 00:00:00+00:00,225.8,825.8282,2580.4507,151.88422,30954.088,2958.4583,538.53
Bone,2015-01-31 00:00:00+00:00,125.4,816.7678,2553.9097,217.84138,30979.06,2899.1667,583.46
Bone,2015-02-28 00:00:00+00:00,230.7,726.2829,2387.2354,124.88644,28001.195,2582.3333,515.88
Bone,2015-03-31 00:00:00+00:00,260.4,807.3345,2659.6992,143.17754,31028.729,2677.4167,593.73
Bone,2015-04-30 00:00:00+00:00,269.1,780.0742,2606.279,143.76886,30002.922,2454.1667,510.05
Bone,2015-05-31 00:00:00+00:00,164.8,794.4595,2668.684,272.53662,31040.107,2285.875,545.23
Bone,2015-06-30 00:00:00+00:00,173.7,749.9242,2617.019,283.6181,30040.162,2299.125,451.78
Bone,2015-07-31 00:00:00+00:00,74.9,764.57404,2600.2769,359.98337,31072.166,1653.2084,585.32
Bone,2015-08-31 00:00:00+00:00,16.400002,767.72406,2403.7563,384.59293,31078.076,1589.7084,683.39
Bone,2015-09-30 00:00:00+00:00,1.0,775.07007,2113.8372,369.48822,30072.734,1250.7916,762.29
Bone,2015-10-31 00:00:00+00:00,8.8,831.2157,2148.4666,362.7193,31070.473,1245.8334,820.15
Bone,2015-11-30 00:00:00+00:00,17.6,845.8367,2139.2148,217.93694,29980.107,1645.4584,721.47003
Bone,2015-12-31 00:00:00+00:00,180.70001,843.7907,2495.2732,172.53026,30998.32,2614.75,586.34
Bone,2016-01-31 00:00:00+00:00,141.8,842.5491,2556.9854,148.19194,31027.879,2285.6667,647.44
Bone,2016-02-29 00:00:00+00:00,349.3,772.75354,2488.759,119.966805,29016.416,2644.7917,487.66998
Bone,2016-03-31 00:00:00+00:00,311.4,832.55115,2680.181,127.40503,31025.992,2762.25,575.72
Bone,2016-04-30 00:00:00+00:00,227.0,794.8305,2607.4512,136.7725,30015.209,2646.125,508.48
